ID,KEYID,KEYSTATUSID,STARTDATE,ENDDATE,OWNERID,PERSONRESPID,NOTE
18042,18629,3,00:00.0,00:00.0,1218655,0,
18043,18347,3,00:00.0,00:00.0,1135721,0,
18044,18348,2,00:00.0,00:00.0,0,0,
18045,5293,1,00:00.0,00:00.0,0,0,
18046,5292,2,00:00.0,00:00.0,0,0,
18047,18671,3,00:00.0,00:00.0,1293279,0,
18048,18672,3,00:00.0,00:00.0,1296552,0,
18049,18673,3,00:00.0,00:00.0,1649561,0,
18050,18736,3,00:00.0,00:00.0,1297619,0,
18051,18737,3,00:00.0,00:00.0,1290381,0,
18052,18738,3,00:00.0,00:00.0,1292988,0,
18053,18749,3,00:00.0,00:00.0,1237362,0,
18054,18750,3,00:00.0,00:00.0,1265621,0,
18055,18751,3,00:00.0,00:00.0,1237362,0,
18056,18752,3,00:00.0,00:00.0,1265621,0,
18057,19395,3,00:00.0,00:00.0,1298189,0,
18058,18285,3,00:00.0,00:00.0,1315504,0,
18059,18284,3,00:00.0,00:00.0,1293496,0,
18060,18283,3,00:00.0,00:00.0,1320729,0,
18061,18286,3,00:00.0,00:00.0,1316697,0,
18062,18895,3,00:00.0,00:00.0,1228072,0,
18063,18896,2,00:00.0,00:00.0,0,0,
18064,19534,3,00:00.0,00:00.0,1140865,0,
18065,19535,3,00:00.0,00:00.0,1259336,0,
18066,19536,3,00:00.0,00:00.0,1210340,0,
18067,19537,3,00:00.0,00:00.0,1458157,0,
18068,19539,3,00:00.0,00:00.0,1293471,0,
18069,19540,2,00:00.0,00:00.0,0,0,
18070,19072,3,00:00.0,00:00.0,1218655,0,
18071,3871,4,00:00.0,00:00.0,0,0,
18072,3867,3,00:00.0,00:00.0,1266802,0,
18073,3883,3,00:00.0,00:00.0,1319374,0,
18074,20210,3,00:00.0,00:00.0,1840569,0,
18075,3877,3,00:00.0,00:00.0,1309480,0,
18076,3878,3,00:00.0,00:00.0,1345201,0,
18077,3879,3,00:00.0,00:00.0,1793650,0,
18078,3881,3,00:00.0,00:00.0,1228269,0,
18079,3880,3,00:00.0,00:00.0,1751491,0,
18080,3882,3,00:00.0,00:00.0,1299025,0,
18081,19057,3,00:00.0,00:00.0,1297691,0,
18082,4006,3,00:00.0,00:00.0,1125009,0,
18083,19733,3,00:00.0,00:00.0,1306696,0,
18084,19734,3,00:00.0,00:00.0,1306696,0,
18085,19736,3,00:00.0,00:00.0,1244208,0,
18086,17540,3,00:00.0,00:00.0,1303570,0,
18087,6260,3,00:00.0,00:00.0,1254486,0,
18088,6262,3,00:00.0,00:00.0,1299758,0,
18089,6258,3,00:00.0,00:00.0,1271282,0,
18090,6263,1,00:00.0,00:00.0,0,0,
18091,6264,1,00:00.0,00:00.0,0,0,
18092,6259,1,00:00.0,00:00.0,0,0,
